일자,시가,고가,저가,현재가,전일대비,,등락률,거래량,거래대금,상한,상승,보합,하락,하한
2020/11/20,"863.07","870.78","861.29","870.60",▲,"10.66","+1.24","2,062,544","12,880,469","3","882","109","381",""
2020/11/19,"851.68","860.99","849.72","859.94",▲,"8.20","+0.96","2,249,200","14,795,415","6","630","106","634",""
2020/11/18,"842.55","852.27","840.43","851.74",▲,"12.27","+1.46","2,330,367","14,023,705","5","849","93","424",""
2020/11/17,"846.55","846.55","836.00","839.47",▼,"-7.86","-0.93","1,789,493","13,642,004","1","381","85","906",""
2020/11/16,"843.49","849.80","841.60","847.33",▲,"8.19","+0.98","1,619,880","10,255,818","3","723","90","555",""
2020/11/13,"837.28","839.54","826.17","839.14",▼,"-0.94","-0.11","1,878,625","11,733,210","1","512","107","750","1"
2020/11/12,"844.64","846.87","835.95","840.08",▲,"0.18","+0.02","2,068,886","11,004,803","1","689","104","575",""
2020/11/11,"840.89","842.76","829.53","839.90",▼,"-0.89","-0.11","2,281,172","14,066,237","9","581","89","700",""
2020/11/10,"844.22","844.22","835.27","840.79",▼,"-10.42","-1.22","1,815,647","11,637,052","5","580","92","697",""
2020/11/09,"845.81","851.21","845.17","851.21",▲,"14.43","+1.72","1,735,445","9,930,999","4","1,081","73","216",""
2020/11/06,"849.18","849.39","832.27","836.78",▼,"-8.02","-0.95","1,923,198","13,035,090","2","420","97","852",""
2020/11/05,"833.37","845.81","831.78","844.80",▲,"17.83","+2.16","1,660,809","9,827,780","8","1,085","71","204",""
2020/11/04,"826.04","828.89","814.76","826.97",▲,"8.51","+1.04","1,804,688","10,836,965","3","725","122","520",""
2020/11/03,"810.01","821.28","810.01","818.46",▲,"15.51","+1.93","1,672,273","8,746,154","5","1,012","87","271",""
2020/11/02,"796.46","805.92","789.85","802.95",▲,"10.30","+1.30","1,537,119","6,627,149","4","943","103","321",""
2020/10/30,"814.16","814.59","791.30","792.65",▼,"-21.28","-2.61","1,880,463","8,550,017","3","217","59","1,091",""
2020/10/29,"791.02","814.16","791.02","813.93",▲,"7.73","+0.96","1,942,544","8,292,420","4","541","96","726","1"
2020/10/28,"784.88","806.20","784.88","806.20",▲,"22.47","+2.87","2,049,765","7,888,726","3","1,151","74","141",""
2020/10/27,"771.84","794.04","766.96","783.73",▲,"5.71","+0.73","2,056,533","9,246,700","5","590","103","672","1"
2020/10/26,"808.06","808.06","776.70","778.02",▼,"-29.96","-3.71","1,634,353","8,397,441","5","147","49","1,167","2"
2020/10/23,"817.70","817.70","804.75","807.98",▼,"-4.72","-0.58","1,613,364","8,366,884","3","512","103","747",""
2020/10/22,"826.71","826.71","812.70","812.70",▼,"-17.97","-2.16","1,734,931","9,569,520","2","292","65","1,005","1"
2020/10/21,"827.35","830.95","819.66","830.67",▲,"6.02","+0.73","1,492,449","8,700,877","2","864","96","400",""
2020/10/20,"816.16","825.96","803.24","824.65",▲,"2.40","+0.29","1,664,943","10,171,863","2","609","99","656","1"
2020/10/19,"836.83","838.63","821.50","822.25",▼,"-11.59","-1.39","1,701,656","8,516,309","3","402","84","878","1"
2020/10/16,"845.63","849.20","822.58","833.84",▼,"-10.60","-1.26","2,275,827","10,675,848","1","287","61","1,012",""
2020/10/15,"861.37","861.37","833.55","844.44",▼,"-17.04","-1.98","2,238,669","12,500,116","4","256","62","1,042",""
2020/10/14,"873.04","875.02","859.88","861.48",▼,"-10.44","-1.20","2,373,269","12,910,781","4","368","63","929",""
2020/10/13,"878.15","878.15","865.95","871.92",▼,"-1.58","-0.18","2,277,904","14,295,524","7","589","81","690",""
2020/10/12,"875.25","875.25","868.01","873.50",▲,"1.88","+0.22","2,009,372","11,751,824","3","687","98","576",""
2020/10/08,"875.12","875.59","867.63","871.62",▲,"1.96","+0.23","1,994,293","12,138,290","4","637","132","594",""
2020/10/07,"856.70","869.69","856.66","869.66",▲,"7.08","+0.82","2,013,038","10,601,101","4","858","100","402",""
2020/10/06,"863.74","866.67","855.65","862.58",▲,"4.19","+0.49","1,981,912","10,972,339","3","707","120","533",""
2020/10/05,"848.67","858.82","843.06","858.39",▲,"10.24","+1.21","1,675,260","9,951,689","6","937","83","341",""
2020/09/29,"844.69","848.59","839.68","848.15",▲,"12.24","+1.46","2,084,774","11,430,772","6","1,007","73","281",""
2020/09/28,"820.72","836.15","819.86","835.91",▲,"27.63","+3.42","1,938,337","11,134,007","7","1,168","57","135",""
2020/09/25,"817.95","820.74","799.53","808.28",▲,"1.33","+0.16","2,212,037","13,310,027","6","743","100","519","2"
2020/09/24,"825.74","833.04","804.28","806.95",▼,"-36.50","-4.33","2,196,877","15,462,868","6","131","34","1,197",""
2020/09/23,"855.57","856.14","821.89","843.45",▲,"0.73","+0.09","2,246,112","13,123,004","6","694","81","584",""
2020/09/22,"867.72","867.89","838.13","842.72",▼,"-24.27","-2.80","1,973,655","12,318,664","7","180","44","1,134",""
2020/09/21,"889.94","892.34","859.40","866.99",▼,"-21.89","-2.46","1,965,201","13,745,295","1","226","53","1,079",""
2020/09/18,"889.47","892.39","878.78","888.88",▲,"3.70","+0.42","1,768,419","12,674,547","2","606","90","660",""
2020/09/17,"897.88","898.43","883.50","885.18",▼,"-11.10","-1.24","2,286,208","14,316,885","4","292","59","1,005",""
2020/09/16,"901.75","905.56","891.99","896.28",▼,"-3.18","-0.35","2,410,950","16,003,999","6","434","87","834",""
2020/09/15,"898.63","899.64","893.24","899.46",▲,"5.29","+0.59","2,098,772","15,836,926","7","587","107","660",""
2020/09/14,"894.38","894.80","886.48","894.17",▲,"5.73","+0.64","1,699,498","13,528,195","5","859","68","428",""
2020/09/11,"881.23","888.44","877.58","888.44",▲,"4.14","+0.47","1,994,166","14,400,432","5","616","93","645",""
2020/09/10,"881.12","884.30","874.77","884.30",▲,"14.83","+1.71","1,990,691","14,651,175","6","974","79","298",""
2020/09/09,"864.91","877.67","864.17","869.47",▼,"-8.82","-1.00","2,367,815","16,431,483","7","445","68","837",""
2020/09/08,"884.72","887.01","874.31","878.29",▼,"-0.59","-0.07","2,517,936","19,644,737","6","547","81","720",""
2020/09/07,"872.03","879.36","864.39","878.88",▲,"12.84","+1.48","1,884,731","16,014,602","9","898","78","373",""
2020/09/04,"841.37","866.90","841.37","866.04",▼,"-8.09","-0.93","1,730,687","14,668,094","5","352","41","958",""
2020/09/03,"871.02","874.16","869.84","874.13",▲,"7.39","+0.85","1,763,488","14,025,988","6","744","105","500",""
2020/09/02,"859.58","866.87","858.23","866.74",▲,"13.37","+1.57","1,843,232","14,343,098","4","852","86","409",""
2020/09/01,"850.58","854.22","847.53","853.37",▲,"5.13","+0.60","1,843,909","12,734,768","6","763","99","487",""
2020/08/31,"847.97","852.54","839.63","848.24",▲,"6.94","+0.82","1,890,066","14,737,499","6","786","75","489",""
2020/08/28,"841.76","850.38","837.86","841.30",▲,"4.90","+0.59","2,111,380","16,800,923","6","810","96","443",""
2020/08/27,"842.38","842.83","832.74","836.40",▼,"-4.95","-0.59","2,951,684","20,848,705","9","331","46","972",""
2020/08/26,"838.86","842.48","827.27","841.35",▲,"5.04","+0.60","2,152,206","17,370,409","15","622","114","611",""
2020/08/25,"821.53","836.41","820.02","836.31",▲,"20.57","+2.52","1,605,321","14,241,915","10","1,170","51","126",""
2020/08/24,"798.20","815.74","787.93","815.74",▲,"19.73","+2.48","1,521,281","12,997,622","6","874","79","395",""
2020/08/21,"801.14","802.70","781.41","796.01",▲,"4.87","+0.62","1,658,737","14,078,885","4","831","94","422","1"
2020/08/20,"816.63","821.11","785.00","791.14",▼,"-27.60","-3.37","1,813,140","15,393,962","11","166","37","1,142",""
2020/08/19,"810.86","818.74","805.52","818.74",▲,"18.52","+2.31","1,601,780","14,760,513","11","998","72","277",""
2020/08/18,"834.55","834.55","794.91","800.22",▼,"-34.81","-4.17","1,897,401","15,861,822","9","128","19","1,198","7"
2020/08/14,"854.71","854.71","831.15","835.03",▼,"-19.74","-2.31","1,732,238","13,842,550","2","339","59","947",""
2020/08/13,"854.82","862.98","852.15","854.77",▲,"9.17","+1.08","1,811,111","14,868,747","10","798","100","445",""
2020/08/12,"858.88","858.88","836.58","845.60",▼,"-14.63","-1.70","1,674,531","14,357,658","8","334","51","957",""
2020/08/11,"863.07","863.72","858.00","860.23",▼,"-2.53","-0.29","1,532,477","13,343,016","6","611","100","630",""
2020/08/10,"859.53","863.80","854.48","862.76",▲,"5.13","+0.60","1,464,015","12,625,988","3","646","68","630",""
2020/08/07,"858.30","859.43","849.01","857.63",▲,"3.51","+0.41","1,397,199","14,574,967","5","507","80","756",""
2020/08/06,"854.02","855.73","847.90","854.12",▲,"6.84","+0.81","1,498,959","14,220,423","3","564","105","677",""
2020/08/05,"837.19","847.38","837.11","847.28",▲,"11.93","+1.43","1,521,802","12,744,683","1","645","71","625",""
2020/08/04,"833.28","835.35","830.55","835.35",▲,"7.78","+0.94","1,509,116","13,940,170","5","828","99","414",""
2020/08/03,"820.41","827.79","815.15","827.57",▲,"12.27","+1.50","1,522,754","14,512,981","6","613","73","656",""
2020/07/31,"817.52","818.70","814.23","815.30",▲,"1.11","+0.14","1,357,354","13,058,945","3","464","80","793",""
2020/07/30,"812.83","814.41","808.02","814.19",▲,"5.60","+0.69","1,301,897","13,271,127","4","682","102","556",""
2020/07/29,"807.71","809.77","804.29","808.59",▲,"0.74","+0.09","1,181,621","10,594,912","4","630","111","598",""
2020/07/28,"807.29","810.97","802.04","807.85",▲,"6.62","+0.83","1,547,330","11,968,083","1","623","97","616",""
2020/07/27,"795.19","804.58","795.19","801.23",▲,"6.43","+0.81","1,293,548","10,426,711","4","720","114","502","1"
2020/07/24,"796.08","804.61","788.72","794.80",▼,"-6.89","-0.86","1,455,338","12,472,640","2","344","82","907",""
2020/07/23,"796.46","803.07","792.27","801.69",▲,"6.70","+0.84","1,384,206","13,661,425","4","409","75","853",""
2020/07/22,"790.58","795.32","785.97","794.99",▲,"4.41","+0.56","1,476,960","11,376,188","4","554","100","681",""
2020/07/21,"787.30","792.20","785.75","790.58",▲,"8.62","+1.10","1,500,350","10,341,745","4","731","110","492",""
2020/07/20,"786.25","786.29","776.97","781.96",▼,"-1.26","-0.16","1,399,220","9,279,615","7","503","96","733",""
2020/07/17,"776.97","783.32","775.78","783.22",▲,"8.15","+1.05","1,365,421","8,582,996","4","709","129","495",""
2020/07/16,"783.24","783.24","769.39","775.07",▼,"-6.22","-0.80","1,631,137","11,153,409","2","471","90","772",""
2020/07/15,"783.14","783.29","775.96","781.29",▲,"2.90","+0.37","1,527,810","11,307,493","5","765","96","470",""
2020/07/14,"776.19","782.70","775.29","778.39",▼,"-2.80","-0.36","1,635,618","12,279,852","5","500","110","724",""
2020/07/13,"777.92","781.19","773.08","781.19",▲,"8.38","+1.08","1,395,977","10,852,689","2","866","88","379",""
2020/07/10,"773.75","775.99","766.51","772.81",▼,"-0.09","-0.01","1,332,284","12,857,389","1","368","69","896",""
2020/07/09,"770.46","774.50","769.31","772.90",▲,"6.94","+0.91","1,465,602","10,387,777","3","681","101","552",""
2020/07/08,"761.19","765.96","758.38","765.96",▲,"6.80","+0.90","1,306,346","10,447,531","6","720","108","504",""
2020/07/07,"763.40","764.46","755.44","759.16",▼,"-0.74","-0.10","1,290,021","10,083,403","4","431","81","820","1"
2020/07/06,"754.74","759.93","750.43","759.90",▲,"7.72","+1.03","1,142,167","8,304,840","3","771","85","475","1"
2020/07/03,"746.13","752.22","741.11","752.18",▲,"9.63","+1.30","1,285,378","10,147,594","1","817","108","404",""
2020/07/02,"732.94","742.55","732.09","742.55",▲,"14.97","+2.06","1,155,544","7,539,546","3","1,033","84","211",""
2020/07/01,"743.53","744.03","726.36","727.58",▼,"-10.39","-1.41","1,184,777","8,563,272","1","423","72","830",""
2020/06/30,"744.54","744.54","731.76","737.97",▲,"3.28","+0.45","1,638,598","10,528,654","3","813","76","438",""
2020/06/29,"743.88","747.30","732.86","734.69",▼,"-15.89","-2.12","1,347,220","9,278,719","4","226","40","1,064",""
2020/06/26,"758.62","758.62","742.57","750.58",▲,"0.22","+0.03","1,522,033","11,787,915","2","587","94","649",""
2020/06/25,"749.81","757.23","745.98","750.36",▼,"-9.14","-1.20","1,362,068","11,212,779","2","286","58","988","1"
2020/06/24,"758.15","765.21","755.12","759.50",▲,"6.27","+0.83","1,333,491","11,763,015","9","781","80","471","2"
2020/06/23,"758.61","761.37","744.26","753.23",▲,"1.59","+0.21","1,584,472","11,682,636","6","467","77","785",""
2020/06/22,"742.98","752.98","741.78","751.64",▲,"9.61","+1.30","1,336,686","10,511,545","7","519","81","732",""
2020/06/19,"743.35","743.94","732.55","742.03",▲,"4.70","+0.64","1,529,200","12,365,576","4","757","81","489",""
2020/06/18,"738.11","743.12","732.92","737.33",▲,"1.93","+0.26","1,243,956","10,605,932","8","650","85","589",""
2020/06/17,"731.91","743.11","717.68","735.40",▲,"0.02","0","1,408,467","10,425,319","6","478","99","750",""
2020/06/16,"716.60","735.74","714.14","735.38",▲,"42.23","+6.09","1,320,202","10,669,159","4","1,266","21","39",""
2020/06/15,"745.60","747.21","693.15","693.15",▼,"-52.91","-7.09","1,470,732","12,260,630","5","50","22","1,253",""
2020/06/12,"722.91","747.37","722.81","746.06",▼,"-11.00","-1.45","1,324,399","11,700,600","1","194","40","1,093",""
2020/06/11,"760.07","766.96","752.04","757.06",▼,"-1.56","-0.21","1,452,105","13,508,483","5","331","59","938",""
2020/06/10,"754.30","759.48","752.29","758.62",▲,"4.80","+0.64","1,577,271","12,213,263","7","513","65","750",""
2020/06/09,"756.02","756.45","746.56","753.82",▲,"0.78","+0.10","1,532,566","10,343,145","5","460","83","784",""
2020/06/08,"754.12","754.32","747.37","753.04",▲,"3.73","+0.50","1,325,593","9,120,474","5","643","90","592",""
2020/06/05,"743.65","749.75","739.52","749.31",▲,"6.94","+0.93","1,125,022","8,656,169","2","761","110","456",""
2020/06/04,"742.87","744.36","733.91","742.37",▲,"4.71","+0.64","1,305,965","9,774,409","4","650","101","576",""
2020/06/03,"749.49","750.14","734.63","737.66",▼,"-5.92","-0.80","1,482,743","11,559,145","2","481","84","759",""
2020/06/02,"737.67","743.70","735.06","743.58",▲,"7.86","+1.07","1,464,961","10,733,016","5","800","91","434",""
2020/06/01,"716.96","735.72","716.83","735.72",▲,"22.04","+3.09","1,275,399","10,325,550","3","1,040","80","207",""
2020/05/29,"706.16","714.51","700.84","713.68",▲,"4.93","+0.70","1,472,678","8,503,015","1","478","86","762",""
2020/05/28,"728.76","728.80","695.30","708.75",▼,"-15.84","-2.19","2,097,276","11,912,397","1","203","56","1,069",""
2020/05/27,"728.26","730.41","722.04","724.59",▼,"-4.52","-0.62","1,571,385","10,577,662","5","515","87","726",""
2020/05/26,"723.28","729.16","718.81","729.11",▲,"9.22","+1.28","1,554,767","10,344,399","3","811","100","417",""
2020/05/25,"712.88","719.89","708.60","719.89",▲,"11.31","+1.60","1,603,666","9,460,186","4","859","97","371",""
2020/05/22,"717.78","719.15","702.50","708.58",▼,"-7.44","-1.04","1,696,053","10,791,248","2","287","59","981",""
2020/05/21,"714.33","716.72","711.71","716.02",▲,"7.26","+1.02","1,993,800","11,336,859","4","741","100","484",""
2020/05/20,"697.15","709.16","697.09","708.76",▲,"12.40","+1.78","2,068,645","10,475,840","4","989","62","278",""
2020/05/19,"696.01","696.39","687.67","696.36",▲,"5.51","+0.80","1,819,084","11,873,294","6","866","76","387","1"
2020/05/18,"695.17","695.90","688.88","690.85",▼,"-1.08","-0.16","1,470,278","10,497,458","4","589","81","659","1"
2020/05/15,"695.80","696.91","686.23","691.93",▲,"1.36","+0.20","1,360,015","12,394,013","1","557","100","672","1"
2020/05/14,"687.92","693.68","684.33","690.57",▼,"-0.96","-0.14","1,572,689","13,051,237","1","375","59","891",""
2020/05/13,"676.53","691.57","676.24","691.53",▲,"7.32","+1.07","1,510,721","9,717,013","3","621","106","603",""
2020/05/12,"687.48","688.37","673.66","684.21",▼,"-0.83","-0.12","1,486,569","10,034,743","2","410","62","854",""
2020/05/11,"686.81","690.34","676.60","685.04",▲,"2.74","+0.40","1,538,941","10,447,899","3","498","76","749",""
2020/05/08,"674.01","682.94","673.52","682.30",▲,"14.13","+2.11","1,683,945","9,622,021","3","940","91","293",""
2020/05/07,"659.45","669.03","658.93","668.17",▲,"9.77","+1.48","1,744,936","8,831,807","6","941","96","288",""
2020/05/06,"650.15","658.40","647.52","658.40",▲,"16.49","+2.57","1,506,803","8,491,492","3","1,103","59","163","1"
2020/05/04,"637.00","648.57","635.16","641.91",▼,"-3.27","-0.51","1,279,273","6,695,809","2","452","87","783",""
2020/04/29,"646.33","648.42","644.06","645.18",▲,"0.25","+0.04","1,686,253","7,967,208","3","691","83","546","1"
2020/04/28,"649.46","651.39","638.69","644.93",▼,"-1.93","-0.30","1,770,727","8,179,500","2","531","106","686",""
2020/04/27,"638.90","647.11","638.58","646.86",▲,"13.90","+2.20","1,718,845","7,697,761","5","1,047","74","202",""
2020/04/24,"640.19","645.22","629.12","632.96",▼,"-10.83","-1.68","1,781,069","8,847,938","2","225","60","1,039",""
2020/04/23,"640.13","645.54","637.33","643.79",▲,"8.63","+1.36","1,659,299","10,091,678","4","930","91","303","1"
2020/04/22,"618.95","635.31","616.88","635.16",▲,"6.39","+1.02","1,459,274","9,185,269","4","691","112","520","2"
2020/04/21,"634.76","641.07","602.05","628.77",▼,"-9.05","-1.42","2,164,007","12,731,402","","228","43","1,051",""
2020/04/20,"635.71","643.05","634.20","637.82",▲,"3.03","+0.48","1,571,067","9,532,297","5","751","85","489","2"
2020/04/17,"631.34","634.79","628.05","634.79",▲,"11.36","+1.82","1,640,016","9,115,282","5","1,036","68","218",""
2020/04/16,"606.69","623.59","603.15","623.43",▲,"13.14","+2.15","1,368,160","8,217,243","6","926","74","322",""
2020/04/14,"605.14","611.36","602.05","610.29",▲,"13.58","+2.28","1,600,520","8,357,337","3","1,069","77","176",""
2020/04/13,"609.94","611.06","596.71","596.71",▼,"-14.55","-2.38","2,010,346","10,096,969","2","215","50","1,056",""
2020/04/10,"617.75","618.08","593.01","611.26",▼,"-4.69","-0.76","2,001,744","10,153,608","5","421","73","827",""
2020/04/09,"616.67","618.37","610.66","615.95",▲,"8.58","+1.41","1,810,580","9,552,047","6","931","81","311",""
2020/04/08,"604.46","615.32","599.30","607.37",▲,"0.47","+0.08","2,362,934","12,763,686","6","748","82","495",""
2020/04/07,"606.21","606.90","593.22","606.90",▲,"9.69","+1.62","2,108,624","13,276,333","9","995","55","273",""
2020/04/06,"579.25","597.21","577.83","597.21",▲,"24.20","+4.22","1,526,019","9,876,607","15","1,214","40","73",""
2020/04/03,"571.29","576.27","564.02","573.01",▲,"5.31","+0.94","1,374,770","9,453,490","5","838","78","412",""
2020/04/02,"555.40","567.70","542.75","567.70",▲,"15.86","+2.87","1,680,263","10,992,105","13","986","75","266","1"
2020/04/01,"568.88","579.76","551.30","551.84",▼,"-17.23","-3.03","1,897,096","13,461,988","10","450","65","813",""
2020/03/31,"551.48","569.07","551.25","569.07",▲,"26.96","+4.97","1,865,421","13,672,046","18","1,139","50","138",""
2020/03/30,"513.13","542.12","511.47","542.11",▲,"19.28","+3.69","1,431,987","9,610,628","28","1,057","57","215",""
2020/03/27,"535.94","540.04","502.48","522.83",▲,"6.22","+1.20","1,979,703","14,845,252","13","839","82","408",""
2020/03/26,"506.51","533.33","501.82","516.61",▲,"10.93","+2.16","1,649,355","11,902,864","26","1,032","46","254",""
2020/03/25,"496.32","506.43","488.98","505.68",▲,"25.28","+5.26","1,441,082","9,686,607","23","1,250","30","52",""
2020/03/24,"457.21","480.40","454.24","480.40",▲,"36.64","+8.26","1,143,642","6,742,315","12","1,246","22","63",""
2020/03/23,"443.51","455.97","435.81","443.76",▼,"-23.99","-5.13","1,086,690","6,163,699","5","107","16","1,214","3"
2020/03/20,"443.88","467.75","435.11","467.75",▲,"39.40","+9.20","1,243,149","6,503,974","18","1,247","20","72","1"
2020/03/19,"501.59","502.12","419.55","428.35",▼,"-56.79","-11.71","1,646,248","8,575,181","3","43","8","1,293","26"
2020/03/18,"520.79","526.10","485.14","485.14",▼,"-29.59","-5.75","1,322,271","7,410,179","6","130","39","1,176",""
2020/03/17,"488.02","518.72","483.51","514.73",▲,"10.22","+2.03","1,367,413","7,993,286","7","605","55","686","1"
2020/03/16,"538.68","541.87","504.51","504.51",▼,"-19.49","-3.72","1,201,664","7,219,385","4","212","56","1,077","4"
2020/03/13,"536.62","540.30","487.07","524.00",▼,"-39.49","-7.01","1,522,369","8,152,013","1","50","13","1,282","2"
2020/03/12,"589.20","594.32","555.47","563.49",▼,"-32.12","-5.39","1,639,528","8,049,548","4","87","17","1,242",""
2020/03/11,"621.12","622.07","591.38","595.61",▼,"-24.36","-3.93","1,570,650","8,354,953","5","113","34","1,199","1"
2020/03/10,"606.89","619.98","604.51","619.97",▲,"5.37","+0.87","1,431,027","9,633,330","4","655","66","620","1"
2020/03/09,"631.13","632.52","614.58","614.60",▼,"-28.12","-4.38","1,317,498","8,683,416","6","79","22","1,242","1"
2020/03/06,"642.33","647.83","637.20","642.72",▼,"-7.47","-1.15","1,113,502","7,238,871","2","255","58","1,029",""
2020/03/05,"647.75","650.81","643.97","650.19",▲,"8.46","+1.32","1,077,679","6,397,649","3","978","88","278",""
2020/03/04,"623.75","641.73","623.55","641.73",▲,"14.91","+2.38","1,097,676","5,659,995","4","1,157","50","132",""
2020/03/03,"641.65","641.77","626.71","626.82",▼,"-0.84","-0.13","1,232,865","6,053,621","3","751","111","481",""
2020/03/02,"617.88","627.71","607.32","627.66",▲,"16.93","+2.77","1,186,854","6,153,922","4","1,062","56","225","1"
2020/02/28,"626.36","631.25","608.38","610.73",▼,"-27.44","-4.30","1,389,631","8,020,425","1","69","19","1,255","1"
2020/02/27,"654.61","660.89","634.79","638.17",▼,"-16.46","-2.51","1,231,802","7,715,985","4","166","42","1,134","1"
2020/02/26,"644.02","658.29","642.98","654.63",▼,"-2.32","-0.35","1,137,059","6,137,280","1","434","91","817","1"
2020/02/25,"639.28","656.96","633.65","656.95",▲,"17.66","+2.76","1,212,527","6,189,111","3","1,084","44","213",""
2020/02/24,"653.40","656.31","639.22","639.29",▼,"-28.70","-4.30","1,476,932","8,178,363","3","89","17","1,237",""
2020/02/21,"673.57","680.28","667.47","667.99",▼,"-13.67","-2.01","1,427,547","8,134,693","6","192","49","1,102","1"
2020/02/20,"687.65","688.51","677.99","681.66",▼,"-3.12","-0.46","1,464,809","8,799,125","4","367","76","898",""
2020/02/19,"686.89","688.11","673.64","684.78",▲,"1.86","+0.27","1,604,888","7,629,860","6","550","95","696",""
2020/02/18,"691.42","692.52","681.44","682.92",▼,"-9.67","-1.40","1,781,024","7,509,559","2","317","67","957","1"
2020/02/17,"690.35","692.64","686.73","692.59",▲,"3.68","+0.53","1,524,917","6,524,735","4","632","101","609",""
2020/02/14,"687.23","692.00","685.67","688.91",▲,"1.30","+0.19","1,499,191","7,351,634","4","650","101","593","1"
2020/02/13,"689.54","691.43","681.77","687.61",▲,"1.02","+0.15","1,345,100","6,993,822","6","472","127","743",""
2020/02/12,"683.26","686.79","680.26","686.59",▲,"4.25","+0.62","1,333,842","6,045,972","5","693","96","552",""
2020/02/11,"678.97","682.34","678.43","682.34",▲,"6.27","+0.93","1,167,070","5,516,294","3","765","123","454",""
2020/02/10,"669.53","676.08","668.10","676.07",▲,"3.44","+0.51","979,098","4,829,779","4","667","117","558","1"
2020/02/07,"673.11","674.03","667.93","672.63",▼,"-0.06","-0.01","1,024,735","5,232,691","2","575","120","649",""
2020/02/06,"665.94","672.69","665.88","672.69",▲,"11.37","+1.72","946,334","4,609,410","2","996","87","263",""
2020/02/05,"666.74","668.91","658.03","661.32",▲,"0.08","+0.01","991,276","5,266,753","","655","111","582","1"
2020/02/04,"650.72","661.24","649.22","661.24",▲,"14.39","+2.22","938,254","5,073,960","1","1,116","56","175","1"
2020/02/03,"631.82","648.34","627.65","646.85",▲,"4.37","+0.68","1,193,311","6,081,593","3","638","80","629","2"
2020/01/31,"660.98","664.77","641.57","642.48",▼,"-13.91","-2.12","1,343,602","6,458,896","4","202","55","1,087",""
2020/01/30,"670.65","673.17","652.42","656.39",▼,"-13.79","-2.06","1,213,886","6,228,414","4","195","55","1,093",""
2020/01/29,"671.08","671.98","664.09","670.18",▲,"5.48","+0.82","1,056,865","5,573,599","2","779","115","450",""
2020/01/28,"660.79","668.22","658.78","664.70",▼,"-20.87","-3.04","1,161,215","6,991,101","12","176","32","1,135",""
2020/01/23,"685.94","687.71","683.52","685.57",▼,"-2.68","-0.39","957,782","5,009,218","3","474","122","744",""
2020/01/22,"677.05","688.28","677.05","688.25",▲,"11.73","+1.73","1,012,722","4,631,042","2","900","94","351",""
2020/01/21,"683.82","685.89","675.48","676.52",▼,"-6.95","-1.02","1,032,065","5,569,469","2","329","90","927",""
2020/01/20,"690.85","691.17","682.48","683.47",▼,"-4.94","-0.72","1,019,250","5,916,227","4","390","71","885",""
2020/01/17,"689.73","690.61","686.68","688.41",▲,"1.89","+0.28","1,028,709","5,544,314","1","692","121","533",""
2020/01/16,"679.67","686.52","679.49","686.52",▲,"7.36","+1.08","880,290","5,239,369","1","713","123","509",""
2020/01/15,"678.83","681.39","676.91","679.16",▲,"0.45","+0.07","908,209","4,233,510","3","715","115","513",""
2020/01/14,"682.14","685.88","676.78","678.71",▼,"-0.51","-0.08","897,262","5,205,779","3","542","127","678",""
2020/01/13,"673.76","679.22","673.23","679.22",▲,"6.19","+0.92","894,402","4,843,152","","871","98","376",""
2020/01/10,"668.79","673.03","665.92","673.03",▲,"6.94","+1.04","827,031","4,857,917","2","891","95","360",""
